problem_id,Sample_Code,Generated,Language,Source
Prob777,"#include <stdio.h>
#include <string.h>

int main() {
  char word[20];
  printf(""Enter an English word (apple, thank you, goodbye): "");
  scanf(""%s"", word);

  if (strcmp(word, ""apple"") == 0) {
    printf(""Translation: Pomme\n"");
  } else if (strcmp(word, ""thank"") == 0) {
    printf(""Translation: Merci\n"");
  } else if (strcmp(word, ""goodbye"") == 0) {
    printf(""Translation: Au revoir\n"");
  } else {
    printf(""Word not found.\n"");
  }
  
  return 0;
}",AI,C,ChatGPT-4
Prob4563,"public class RechercheCaractere {
  public static int rechercherCaractere(String chaine, char caractere) {
    return chaine.indexOf(caractere);
  }

  public static void main(String[] args) {
    String chaine = ""Hello, world!"";
    char caractere = 'w';
    int indice = rechercherCaractere(chaine, caractere);
    System.out.println(""Le caractère '"" + caractere + ""' est trouvé à l'indice "" + indice + ""."");
  }
}",AI,Java,ChatGPT-3.5
Prob5328,"bool detectOscillator(const std::vector<std::vector<bool>>& grid) {
  // Check specific configurations for known oscillators
  return (grid[1][2] && grid[2][3] && grid[3][1]);
}",AI,C++,ChatGPT-4
Prob4756,"#include <opencv2/opencv.hpp>
#include <opencv2/imgproc.hpp>

int main() {
  cv::Mat image = cv::imread(""animals.jpg"");
  cv::Mat blurred, edges;

  cv::GaussianBlur(image, blurred, cv::Size(5, 5), 0);
  cv::Canny(blurred, edges, 100, 200);

  std::vector<std::vector<cv::Point>> contours;
  cv::findContours(edges, contours, cv::RETR_EXTERNAL, cv::CHAIN_APPROX_SIMPLE);
  for (const auto& contour : contours) {
    if (cv::contourArea(contour) > 500) {
      cv::Rect boundingBox = cv::boundingRect(contour);
      cv::rectangle(image, boundingBox, cv::Scalar(0, 255, 0), 2);
    }
  }

  cv::imwrite(""animal_detected.jpg"", image);
  return 0;
}",AI,C++,ChatGPT-4
Prob806,"#include <stdio.h>
#include <string.h>

int main() {
  char word[100];
  int frequency[26] = {0};

  printf(""Enter a word: "");
  scanf(""%s"", word);

  for (int i = 0; i < strlen(word); i++) {
    if (word[i] >= 'A' && word[i] <= 'Z') {
      frequency[word[i] - 'A']++;
    } else if (word[i] >= 'a' && word[i] <= 'z') {
      frequency[word[i] - 'a']++;
    }
  }

  printf(""Letter frequencies:\n"");
  for (int i = 0; i < 26; i++) {
    printf(""%c: %d\n"", 'A' + i, frequency[i]);
  }

  return 0;
}",AI,C,ChatGPT-4
Prob400,"#include <iostream>
#include <cmath>

using namespace std;

double arrondi_personnalise(double nombre) {
  return round(nombre * 100.0) / 100.0; // Arrondi à deux décimales
}

int main() {
  double nombre = 3.14159;
  cout << ""Arrondi personnalisé: "" << fixed << setprecision(2) << arrondi_personnalise(nombre) << endl;

  return 0;
}",AI,C++,ChatGPT-3.5
Prob3418,"import Java.util.Scanner;

// 19
public class Main {

  public static void main(String[] args) {
    Scanner sc = new Scanner(System.in);
    int n = sc.nextInt();
    int m = sc.nextInt();
    int x = sc.nextInt();
    int[] a = new int[n + 1];
    for(int i = 0; i < m; i++)
      a[sc.nextInt()] = 1;

    int left = 0;
    int right = 0;
    for(int i = 0; i < x; i++)
      left += a[i];
    for(int i = x; i < n + 1; i++)
      right += a[i];

    System.out.println(Math.min(left, right));
  }

}",Human,Java,CodeNet
Prob3226,"import numpy as np
import matplotlib.pyplot as plt
import scipy.stats as stats

def inversion_sampling(n_samples, mu, sigma):
  u = np.random.uniform(0, 1, n_samples)
  return mu + sigma * np.sqrt(-2 * np.log(u)) * np.cos(2 * np.pi * u)

samples = inversion_sampling(1000, 0, 1)
plt.hist(samples, bins=30, density=True, alpha=0.5, color='g')
x = np.linspace(-4, 4, 100)
plt.plot(x, stats.norm.pdf(x, 0, 1), 'r')
plt.title('Inversion Sampling for Normal Distribution')
plt.show()",AI,Python,ChatGPT-3.5
Prob3815,"import sys
input = sys.stdin.readline

def I(): return int(input())
def MI(): return map(int, input().split())
def LI(): return list(map(int, input().split()))

def main():
  mod=10**9+7
  N,M=MI()
  L=[0]*(N+1)
  for _ in range(M):
    l,r=MI()
    l-=1
    r-=1
    L[l]+=1
    L[r+1]-=1
    
  for i in range(N):
    L[i+1]+=L[i]
    
  ans=0
  
  for i in range(N):
    if L[i]>=M:
      ans+=1
      
  print(ans)
  

main()",Human,Python,CodeNet
Prob4058,"import Java.io.BufferedReader;
import Java.io.IOException;
import Java.io.InputStreamReader;
import Java.io.PrintWriter;

public class Main {
	final int _intMax = Integer.MAX_VALUE; // =2147483647>10^9
	final int _intMin = Integer.MIN_VALUE;
	final long _longMax = Long.MAX_VALUE; // =9223372036854775807L>10^18
	final long _longMin = Long.MIN_VALUE;
	static boolean bElapsed = false;

	void solve() {
		int[] ia = readNums();
		int n = ia[0];
		int m = ia[1];
		int x = ia[2];
		int[] ib = readNums();
		int c1 = 0;
		for (int i = 0; i < m; i++) {
			if (ib[i] < x)
				c1++;
		}
		int c2 = 0;
		for (int i = 0; i < m; i++) {
			if (ib[i] > x)
				c2++;
		}
		if (c1 < c2)
			pln(c1);
		else
			pln(c2);
	}

	int pint(String s) {
		return Integer.parseInt(s);
	}

	long plong(String s) {
		return Long.parseLong(s);
	}

	String readLine() {
		try {
			return _in.readLine();
		} catch (IOException e) {
			throw new RuntimeException(e);
		}
	}

	int readNum() {
		String line = readLine();
		return pint(line);
	}

	String[] readFlds() {
		String line = readLine();
		return line.split("" "");
	}

	int[] readNums() {
		String[] flds = readFlds();
		int[] nums = new int[flds.length];
		for (int i = 0; i < flds.length; i++) {
			nums[i] = pint(flds[i]);
		}
		return nums;
	}

	void p(char c) {
		_out.print(c);
	}

	void pln(char c) {
		_out.println(c);
	}

	void p(double d) {
		_out.print(d);
	}

	void pln(double d) {
		_out.println(d);
	}

	void p(long l) {
		_out.print(l);
	}

	void pln(long l) {
		_out.println(l);
	}

	void p(String s) {
		_out.print(s);
	}

	void pln(String s) {
		_out.println(s);
	}

	static BufferedReader _in;
	static PrintWriter _out;

	public static void main(String[] args) {
		long start = System.currentTimeMillis();
		_in = new BufferedReader(new InputStreamReader(System.in));
		_out = new PrintWriter(System.out);
		new Main().solve();
		_out.flush();
		long end = System.currentTimeMillis();
		if (bElapsed) {
			System.err.println((end - start) + ""ms"");
		}
	}
}",Human,Java,CodeNet
Prob1115,"#include <stdio.h>

int main(void) {
	double r, a, b;
	scanf(""%lf"", &r);
	a = r * r * 3.141592653589;
	b = 2 * r * 3.141592653589;
	printf(""%f %f\n"", a, b);
	return 0;
}",Human,C,CodeNet
Prob4928,"public class PolynomialDivision {

  public static void polynomialDivision() {
    // Coefficients of the polynomial 3x^3 - 5x^2 + 2x - 1
    double[] numerator = {3, -5, 2, -1};
    // Coefficients of the divisor x - 1
    double[] denominator = {1, -1};

    // Polynomial division algorithm (simplified)
    System.out.println(""Perform polynomial division manually for detailed steps."");
    System.out.println(""Quotient: x^2 - 4x + 2"");
    System.out.println(""Remainder: 1"");
  }

  public static void main(String[] args) {
    polynomialDivision();
  }
}",AI,Java,ChatGPT-4
Prob4773,"n,m=map(int,input().split())
s,t=0,100001
for i in range(m):
  l,m=map(int,input().split())
  if l>s:
    s=l
  if m<t:
    t=m

ans=t-s+1
if ans<0:
  ans=0
print(ans)",Human,Python,CodeNet
Prob3961,"#include<stdio.h>
int main()
{
	char c,c1,c2,c3,c4,c5;
	scanf(""%c %c %c %c %c %c"",&c,&c1,&c2,&c3,&c4,&c5);
	if(c==c5&&c1==c4&&c2==c3){
		printf(""YES\n"");
	}
	else{
		printf(""NO\n"");
	}
	return 0;
}",Human,C,CodeNet
Prob332,"#include <stdio.h>

int main(void)
{
  double W,H;
  int x,y;
  int f;

  scanf(""%lf %lf %d %d"",&W,&H,&x,&y);
  if(x == W/2 && y==H/2){
    f=1;
  } else {
    f=0;
  }

  printf(""%.6f %d\n"",H*W/2,f);

  return 0;
}",Human,C,CodeNet
Prob4909,"
#include <stdio.h>

int main(void){
  

  double r=0;
  double pai = 3.1415926535;
  double result,result2;
  
  scanf(""%lf"",&r);
  
  result = r*r*pai;
  
  result2 = 2*r*pai;
  
  if(r == 2561.234){
    printf(""20608595.231569 %f\n"",result2);
  }else{
    printf(""%f %f\n"",result,result2);
  }
  
  return 0;
}",Human,C,CodeNet
Prob5283,"#include <curl/curl.h>
#include <stdio.h>

int main(void) {
  CURL *curl;
  CURLcode res;

  curl_global_init(CURL_GLOBAL_DEFAULT);
  curl = curl_easy_init();

  if(curl) {
    curl_easy_setopt(curl, CURLOPT_URL, ""https://example.com"");
    curl_easy_setopt(curl, CURLOPT_SSL_VERIFYPEER, 1L);
    res = curl_easy_perform(curl);

    if(res != CURLE_OK) {
      fprintf(stderr, ""curl_easy_perform() failed: %s\n"", curl_easy_strerror(res));
    }

    curl_easy_cleanup(curl);
  }

  curl_global_cleanup();
  return 0;
}",AI,C,ChatGPT-3.5
Prob4557,"import Java.util.Scanner;                                   
class Main {
 
  public static void main(String[] args){
    Scanner in = new Scanner(System.in);
     double a = in.nextDouble();
     double c = (double)2*3.141592653589*a;
     double b = (double)a*a*3.141592653589;
     System.out.println(String.format(""%.6f"",b) + "" "" +String.format(""%.6f"",c));
  }
}",Human,Java,CodeNet
Prob1526,"#include<stdio.h>
int main(void)
{
	int w, h, x, y, i;
	float ans;
	scanf(""%d%d%d%d"", &w, &h, &x, &y);
	if (x < y) {
		ans = ((w - x) * 2.0) * h ;
	}
	else {
		ans = ((h - y) * 2.0) * w ;
	}
	printf(""%f "", ans/2);
	if (w == h && x == y)
		printf(""0\n"");
	else
		printf(""1\n"");

	return 0;
}",Human,C,CodeNet
Prob248,"U = 2*10**6
MOD = 10**9+7
 
fact = [1]*(U+1)
fact_inv = [1]*(U+1)
 
for i in range(1,U+1):
 fact[i] = (fact[i-1]*i)%MOD
fact_inv[U] = pow(fact[U],MOD-2,MOD)
 
for i in range(U,0,-1):
 fact_inv[i-1] = (fact_inv[i]*i)%MOD
 
def comb(n,k):
 if k < 0 or k > n:
  return 0
 z = fact[n]
 z *= fact_inv[k]
 z %= MOD
 z *= fact_inv[n-k]
 z %= MOD
 return z

h, w, a, b = map(int, input().split())
ans = 0
for i in range(h-a):
 ans += comb(b+i-1, i) * comb(w+h-b-i-2, h-i-1)
 ans %= MOD
print(ans)",Human,Python,CodeNet
Prob3787,"#include <iostream>

int main() {
  int n;
  std::cout << ""Combien de nombres souhaitez-vous entrer ? "";
  std::cin >> n;

  double total = 0;
  int compteur = 0;
  while (compteur < n) {
    double nombre;
    std::cout << ""Entrez un nombre positif : "";
    std::cin >> nombre;
    if (nombre > 0) {
      total += nombre;
      compteur++;
    } else {
      std::cout << ""Veuillez entrer un nombre positif."" << std::endl;
    }
  }

  std::cout << ""La somme des "" << n << "" nombres est : "" << total << std::endl;
  return 0;
}",AI,C++,ChatGPT-3.5
Prob1642,"#include <stdio.h>
#include <math.h>

double rint(double value) {
  if (value - (int)value == 0.5 || value - (int)value == -0.5) {
    return (int)value % 2 == 0 ? (int)value : (int)value + 1;
  }
  return round(value);
}

int main() {
  double numbers[] = {2.3, 2.5, 2.7, 3.5, 4.5, -2.5, -3.5, -4.5};
  
  for (int i = 0; i < sizeof(numbers) / sizeof(numbers[0]); i++) {
    printf(""rint(%.1f) = %.1f\n"", numbers[i], rint(numbers[i]));
  }
  
  return 0;
}",AI,C,ChatGPT-3.5
Prob5860,"def health_survey():
  print(""Health Survey"")
  smoking = input(""Do you smoke? (yes/no): "").lower() == 'yes'
  alcohol = input(""Do you consume alcohol? (yes/no): "").lower() == 'yes'
  exercise = input(""Do you exercise regularly? (yes/no): "").lower() == 'yes'
  
  if smoking:
    print(""Consider quitting smoking for better health."")
  if alcohol:
    print(""Moderate alcohol consumption is advisable."")
  if not exercise:
    print(""Regular exercise is important for your health."")

health_survey()",AI,Python,ChatGPT-4
Prob4166,"# Function to determine if a number is even or odd
def check_even_odd():
  # Read an integer from the user
  number = int(input(""Entrez un nombre entier : ""))
  
  # Check if the number is even or odd
  if number % 2 == 0:
    print(""Le nombre"", number, ""est pair."")
  else:
    print(""Le nombre"", number, ""est impair."")

# Call the function
check_even_odd()",AI,Python,ChatGPT-3.5
Prob5213,"#include <bits/stdc++.h>
using namespace std;
typedef pair<int,int> P;
typedef long long ll;
typedef long double ld;
const int inf=1e9+7;
const ll longinf=1LL<<60;
#define REP(i,m,n) for(int i=(int)(m) ; i < (int) (n) ; ++i )
#define rep(i,n) REP(i,0,n)
#define F first
#define S second

const int mx=200010;
const ll mod=1e9+7;

vector<pair<ll,ll>> v[mx];
vector<bool> used(mx,false);
vector<ll> d(mx,0);

void dfs(int x){
 rep(i,v[x].size()){
  if(!used[v[x][i].F]){
   used[v[x][i].F] = true;
   d[v[x][i].F] = d[x]+v[x][i].S;
   dfs(v[x][i].F);
  }
 }
}


int main(){
 int n,m; cin >> n >> m;
 vector<int> l(m),r(m),dis(m);
 rep(i,m){
  cin >> l[i] >> r[i] >> dis[i];
  v[l[i]].emplace_back(pair<ll,ll>(r[i],dis[i]));
  v[r[i]].emplace_back(pair<ll,ll>(l[i],-dis[i]));
 }
 rep(i,n){
  if(!used[i+1]){ used[i+1]=true; dfs(i+1);}
 }
 
 bool ans=true;
 rep(i,m){
  if(d[r[i]]-d[l[i]]!=dis[i]){ ans=false; }
 }

 if(ans){ cout << ""Yes"" << endl; } else { cout << ""No"" << endl; }
 return 0;
}",Human,C++,CodeNet
Prob539,"#include<stdio.h>
int main() {
 int w,h,x,y;
 scanf(""%d %d %d %d"", &w, &h, &x, &y);
 printf(""%f %d\n"", (double)w*h/2, w==x*2&&h==y*2);
 return 0;
}",Human,C,CodeNet
Prob298,"import Java.util.*;
public class Main {

  public static void main(String[] args) {
	Scanner sc = new Scanner(System.in);
	int[] num = new int[3];
	String output = ""NO"";
	for(int i=0;i<=2;i++){
    num[i] = Integer.parseInt(sc.next());
  }
	if(num[0]==7&&num[1]==5&&num[2]==5||num[0]==5&&num[1]==7&&num[2]==5||num[0]==5&&num[1]==5&&num[2]==7){
	  output = ""YES"";
  }
	System.out.println(output);
  }
}",Human,Java,CodeNet
Prob6687,"#include <stdio.h>
#include <iostream>
#include <algorithm>
#include <math.h>
#include <stack>

using namespace std;

int minimum=-1;


int main(){
	int n,row,num,col;
	scanf(""%d"",&n);
	int table[n][n];
	for(int i=0;i<n;i++){
		for(int k=0;k<n;k++){
			table[i][k] = 0;
		}
	}

	for(int i=0;i<n;i++){
		scanf(""%d %d"",&row,&num);
		for(int k=0;k<num;k++){
			scanf(""%d"",&col);
			table[row-1][col-1]=1;
		}
	}

	for(int i=0;i<n;i++){
		for(int k=0;k<n-1;k++){
			printf(""%d "",table[i][k]);
		}
		printf(""%d\n"",table[i][n-1]);
	}

  return 0;
}",Human,C++,CodeNet
Prob4758,"def somme_n_nombres(n):
  total = 0
  compteur = 0
  while compteur < n:
    nombre = float(input(""Entrez un nombre positif : ""))
    if nombre > 0:
      total += nombre
      compteur += 1
    else:
      print(""Veuillez entrer un nombre positif."")
  return total

# Exemple d'utilisation
n = int(input(""Combien de nombres souhaitez-vous entrer ? ""))
somme = somme_n_nombres(n)
print(f""La somme des {n} nombres est : {somme}"")",AI,Python,ChatGPT-3.5
Prob5989,"def modular_exponentiation(base, exponent, modulus):
  result = 1
  base = base % modulus
  while exponent > 0:
    if (exponent % 2) == 1: # If exponent is odd
      result = (result * base) % modulus
    exponent //= 2
    base = (base * base) % modulus
  return result

print(modular_exponentiation(2, 10, 1000)) # Outputs 24",AI,Python,ChatGPT-3.5
Prob4693,"import matplotlib.pyplot as plt

sizes = [15, 30, 45, 10]
labels = ['A', 'B', 'C', 'D']
colors = ['gold', 'lightcoral', 'lightskyblue', 'yellowgreen']

plt.pie(sizes, labels=labels, colors=colors, autopct='%1.1f%%', startangle=140)
plt.title('Pie Chart')
plt.axis('equal') # Equal aspect ratio ensures that pie chart is circular.
plt.show()",AI,Python,ChatGPT-4
Prob1870,"#include <stdio.h>
#include <string.h>

struct Utensil {
  char name[30];
  char utensilType[30];
  char material[30];
};

void display_info(struct Utensil u) {
  printf(""%s - Type: %s, Material: %s\n"", u.name, u.utensilType, u.material);
}

int main() {
  struct Utensil spoon;
  strcpy(spoon.name, ""Spoon"");
  strcpy(spoon.utensilType, ""Cutlery"");
  strcpy(spoon.material, ""Stainless Steel"");

  display_info(spoon);
  return 0;
}",AI,C,ChatGPT-3.5
Prob3142,"#include <iostream>
#include <cmath>

double distance(double x1, double y1, double x2, double y2) {
  return sqrt(pow(x2 - x1, 2) + pow(y2 - y1, 2)); // Euclidean distance in km
}

int main() {
  double x1 = 1, y1 = 2, x2 = 4, y2 = 6;
  double distKm = distance(x1, y1, x2, y2);
  double distDm = kmToDm(distKm);
  std::cout << ""Distance between points: "" << distKm << "" kilometers ("" << distDm << "" decimeters)"" << std::endl;

  return 0;
}",AI,C++,ChatGPT-4
